meal,content,serving_size,calories_per_portion
"ABALONE,MIXED SPECIES,RAW",protein,,105
"ABALONE,MXD SP,CKD,FRIED",protein,,189
"ABIYUCH,RAW",carbohydrt,,69
"ACEROLA JUICE,RAW",carbohydrt,1 fl oz,23
"ACEROLA,(WEST INDIAN CHERRY),RAW",carbohydrt,"1 fruit, without refuse",32
"ACORN FLOUR,FULL FAT",carbohydrt,,501
ACORN STEW (APACHE),carbohydrt,,95
"ACORNS,DRIED",carbohydrt,,509
"ACORNS,RAW",carbohydrt,,387
"AGAVE,CKD (SOUTHWEST)",carbohydrt,,135
"AGAVE,DRIED (SOUTHWEST)",carbohydrt,,341
"AGAVE,RAW (SOUTHWEST)",carbohydrt,,68
"AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE",carbohydrt,,470
"AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)",carbohydrt,,353
"AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)",protein,,258
"ALCOHOLIC BEV,BEER,LT",carbohydrt,"1 can,  or bottle (12 fl oz)",29
"ALCOHOLIC BEV,BEER,LT,BUD LT",carbohydrt,12 fl oz,29
"ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL",carbohydrt,12 fluid ounce,28
"ALCOHOLIC BEV,BEER,LT,MICHELOB ULTRA",carbohydrt,12 fl oz,27
"ALCOHOLIC BEV,BEER,REG,ALL",carbohydrt,1 can,43
"ALCOHOLIC BEV,BEER,REG,BUDWEISER",carbohydrt,12 fl oz,41
"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",371
"ALCOHOLIC BEV,DAIQUIRI,CND",carbohydrt,"1 can,  (6.8 fl oz, 200 ml)",125
"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",carbohydrt,"1 cocktail,  (2 fl oz)",186
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",231
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",250
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",263
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",275
"ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",295
"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",263
"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",231
"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",231
"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",250
"ALCOHOLIC BEV,LIQUEUR,COFFEE W/CRM,34 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",327
"ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",336
"ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF",carbohydrt,"1 jigger,  1.5 fl oz",308
"ALCOHOLIC BEV,PINA COLADA,CND",carbohydrt,"1 can,  (6.8 fl oz, 200 ml)",237
"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",carbohydrt,"1 cocktail,  (4.5 fl oz)",174
"ALCOHOLIC BEV,RICE (SAKE)",carbohydrt,,134
"ALCOHOLIC BEV,TEQUILA SUNRISE,CND",carbohydrt,"1 can,  (6.8 fl oz, 200 ml)",110
"ALCOHOLIC BEV,WHISKEY SOUR,CND",carbohydrt,"1 can,  (6.8 fl oz, 200 ml)",119
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",carbohydrt,"1 portion,  (2 oz mix + 1.5 oz whiskey)",153
"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/ H2O,WHISKEY & PDR MIX",carbohydrt,"1 packet,  prepared",164
"ALCOHOLIC BEV,WINE,COOKING",carbohydrt,1 fl oz,50
"ALCOHOLIC BEV,WINE,DSSRT,DRY",carbohydrt,"1 glass,  (3.5 fl oz)",152
"ALCOHOLIC BEV,WINE,DSSRT,SWT",carbohydrt,"1 glass,  (3.5 fl oz)",160
"ALCOHOLIC BEV,WINE,LT",carbohydrt,"1 serving,  5 fl oz",49
"ALCOHOLIC BEV,WINE,TABLE,ALL",carbohydrt,1 fl oz,83
"ALCOHOLIC BEV,WINE,TABLE,RED",carbohydrt,"1 serving,  5 fl oz",85
"ALCOHOLIC BEV,WINE,TABLE,RED,BARBERA",carbohydrt,"1 serving,  5 fl oz",85
"ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY",carbohydrt,"1 serving,  5 fl oz",86
"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET FRANC",carbohydrt,"1 serving,  5 fl oz",83
"ALCOHOLIC BEV,WINE,TABLE,RED,CABERNET SAUVIGNON",carbohydrt,"1 serving,  5 fl oz",83
"ALCOHOLIC BEV,WINE,TABLE,RED,CARIGNANE",carbohydrt,"1 serving,  5 fl oz",74
"ALCOHOLIC BEV,WINE,TABLE,RED,CLARET",carbohydrt,"1 serving,  5 fl oz",83
"ALCOHOLIC BEV,WINE,TABLE,RED,GAMAY",carbohydrt,"1 serving,  5 fl oz",78
"ALCOHOLIC BEV,WINE,TABLE,RED,LEMBERGER",carbohydrt,"1 serving,  5 fl oz",80
"ALCOHOLIC BEV,WINE,TABLE,RED,MERLOT",carbohydrt,"1 serving,  5 fl oz",83
"ALCOHOLIC BEV,WINE,TABLE,RED,MOUVEDRE",carbohydrt,"1 serving,  5 fl oz",88
"ALCOHOLIC BEV,WINE,TABLE,RED,PETITE SIRAH",carbohydrt,"1 serving,  5 fl oz",85
"ALCOHOLIC BEV,WINE,TABLE,RED,PINOT NOIR",carbohydrt,"1 serving,  5 fl oz",82
"ALCOHOLIC BEV,WINE,TABLE,RED,SANGIOVESE",carbohydrt,"1 serving,  5 fl oz",86
"ALCOHOLIC BEV,WINE,TABLE,RED,SYRAH",carbohydrt,"1 serving,  5 fl oz",83
"ALCOHOLIC BEV,WINE,TABLE,RED,ZINFANDEL",carbohydrt,"1 serving,  5 fl oz",88
"ALCOHOLIC BEV,WINE,TABLE,WHITE",carbohydrt,"1 serving,  5 fl oz",82
"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHARDONNAY",carbohydrt,"1 serving,  5 fl oz",84
"ALCOHOLIC BEV,WINE,TABLE,WHITE,CHENIN BLANC",carbohydrt,"1 serving,  5 fl oz",80
"ALCOHOLIC BEV,WINE,TABLE,WHITE,FUME BLANC",carbohydrt,"1 serving,  5 fl oz",82
"ALCOHOLIC BEV,WINE,TABLE,WHITE,GEWURZTRAMINER",carbohydrt,"1 serving,  5 fl oz",81
"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST",carbohydrt,"1 serving,  5 fl oz",112
"ALCOHOLIC BEV,WINE,TABLE,WHITE,LATE HARVEST,GEWURZTRAMINER",carbohydrt,"1 serving,  5 fl oz",108
"ALCOHOLIC BEV,WINE,TABLE,WHITE,MULLER THURGAU",carbohydrt,"1 serving,  5 fl oz",76
"ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT",carbohydrt,"1 serving,  5 fl oz",82
"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC",carbohydrt,"1 serving,  5 fl oz",81
"ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT GRIS (GRIGIO)",carbohydrt,"1 serving,  5 fl oz",83
"ALCOHOLIC BEV,WINE,TABLE,WHITE,RIESLING",carbohydrt,"1 serving,  5 fl oz",80
"ALCOHOLIC BEV,WINE,TABLE,WHITE,SAUVIGNON BLANC",carbohydrt,"1 serving,  5 fl oz",81
"ALCOHOLIC BEV,WINE,TABLE,WHITE,SEMILLON",carbohydrt,"1 serving,  5 fl oz",82
"ALFALFA SEEDS,SPROUTED,RAW",protein,1 tbsp,23
"ALLSPICE,GROUND",carbohydrt,1 tbsp,263
"ALMOND BUTTER,PLN,W/SALT",protein,1 cup,614
"ALMOND BUTTER,PLN,WO/SALT",protein,1 cup,614
ALMOND PASTE,carbohydrt,"1 cup,  firmly packed",458
ALMONDS,carbohydrt,"1 cup, sliced",579
"ALMONDS,BLANCHED",protein,1 tbsp,590
"ALMONDS,DRY RSTD,W/SALT",carbohydrt,"1 oz,  (22 whole kernels)",598
"ALMONDS,DRY RSTD,WO/SALT",carbohydrt,"1 oz,  (22 whole kernels)",598
"ALMONDS,HONEY RSTD,UNBLANCHED",carbohydrt,1 oz,594
"ALMONDS,OIL RSTD,W/SALT",protein,"1 oz,  (22 whole kernels)",607
"ALMONDS,OIL RSTD,WO/SALT",protein,"1 oz,  (22 whole kernels)",607
"AMARANTH GRAIN,CKD",carbohydrt,,102
"AMARANTH GRAIN,UNCKD",carbohydrt,,371
"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",carbohydrt,,21
"AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT",carbohydrt,,21
"AMARANTH LEAVES,RAW",carbohydrt,1 leaf,23
"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",protein,1 anchovy,210
"ANCHOVY,EUROPEAN,RAW",protein,,131
"ANIMAL FAT,BACON GREASE",carbohydrt,,897
ANISE SEED,carbohydrt,"1 tbsp, whole",337
"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",carbohydrt,1 fl oz,46
"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C,CA,& K",carbohydrt,10 fl oz,48
"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",carbohydrt,1 fl oz,46
"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O WO/ VIT C",carbohydrt,1 fl oz,47
"APPLE JUC,FRZ CONC,UNSWTND,DIL W/3 VOLUME H2O,W/ VIT C",carbohydrt,1 fl oz,47
"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,W/ VIT C",carbohydrt,,166
"APPLE JUC,FRZ CONC,UNSWTND,UNDIL,WO/ VIT C",carbohydrt,,166
"APPLEBEE'S,9 OZ HOUSE SIRLOIN STEAK",protein,,189
"APPLEBEE'S,CHICK TENDERS PLATTER",protein,,297
"APPLEBEE'S,CHICK TENDERS,FROM KIDS' MENU",protein,"1 serving, (3 pieces)",296
"APPLEBEE'S,CHILI",protein,1 serving,157
"APPLEBEE'S,COLESLAW",carbohydrt,,120
"APPLEBEE'S,CRUNCHY ONION RINGS",carbohydrt,,356
"APPLEBEE'S,DOUBLE CRUNCH SHRIMP",carbohydrt,,323
"APPLEBEE'S,FISH,HAND BATTERED",carbohydrt,,202
"APPLEBEE'S,FRENCH FR",carbohydrt,,290
"APPLEBEE'S,KRAFT,MACARONI & CHS,FROM KID'S MENU",carbohydrt,1 serving,143
"APPLEBEE'S,MOZZARELLA STKS",carbohydrt,1 serving,316
"APPLES,CND,SWTND,SLICED,DRND,HTD",carbohydrt,,67
"APPLES,CND,SWTND,SLICED,DRND,UNHTD",carbohydrt,,67
"APPLES,DEHYD (LO MOIST),SULFURED,STWD",carbohydrt,,74
"APPLES,DEHYD (LO MOIST),SULFURED,UNCKD",carbohydrt,,346
"APPLES,DRIED,SULFURED,STWD,W/ SUGAR",carbohydrt,,83
"APPLES,DRIED,SULFURED,STWD,WO/ SUGAR",carbohydrt,,57
"APPLES,DRIED,SULFURED,UNCKD",carbohydrt,1 ring,243
"APPLES,FRZ,UNSWTND,HTD",carbohydrt,,47
"APPLES,FRZ,UNSWTND,UNHTD",carbohydrt,,48
"APPLES,RAW,FUJI,W/ SKN",carbohydrt,1 large,63
"APPLES,RAW,GALA,W/ SKN",carbohydrt,1 large,57
"APPLES,RAW,GOLDEN DELICIOUS,W/ SKN",carbohydrt,1 large,57
"APPLES,RAW,GRANNY SMITH,W/ SKN",carbohydrt,1 large,58
"APPLES,RAW,RED DELICIOUS,W/ SKN",carbohydrt,1 large,59
"APPLES,RAW,WITH SKIN",carbohydrt,"1 cup, slices",52
"APPLES,RAW,WITHOUT SKIN",carbohydrt,"1 large,  (3-1/4"" dia)",48
"APPLES,RAW,WO/ SKN,CKD,MICROWAVE",carbohydrt,,56
"APPLES,RAW,WO/SKN,CKD,BLD",carbohydrt,,53
"APPLESAUCE,CND,SWTND,W/SALT",carbohydrt,,76
"APPLESAUCE,CND,SWTND,WO/ SALT (INCLUDES USDA COMMODITY)",carbohydrt,,68
"APPLESAUCE,CND,UNSWTND,W/ VIT C",carbohydrt,,42
"APPLESAUCE,CND,UNSWTND,WO/ADDED VIT C (INCLUDES USDA COMMOD)",carbohydrt,,42
"APRICOT NECTAR,CND,W/ VIT C",carbohydrt,1 fl oz,56
"APRICOT NECTAR,CND,WO/ VIT C",carbohydrt,1 fl oz,56
"APRICOTS,CND,EX HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",carbohydrt,,96
"APRICOTS,CND,EX LT SYRUP PK,W/SKN,SOL&LIQUIDS",carbohydrt,,49
"APRICOTS,CND,H2O PK,W/SKN,SOL&LIQUIDS",carbohydrt,"1 apricot, half with liquid",27
"APRICOTS,CND,H2O PK,WO/SKN,SOL&LIQUIDS",carbohydrt,,22
"APRICOTS,CND,HVY SYRUP PK,W/SKN,SOL&LIQUIDS",carbohydrt,"1 cup, whole",83
"APRICOTS,CND,HVY SYRUP PK,WO/SKN,SOL&LIQUIDS",carbohydrt,,83
"APRICOTS,CND,HVY SYRUP,DRND",carbohydrt,"1 cup, whole",83
"APRICOTS,CND,JUC PK,W/SKN,SOL&LIQUIDS",carbohydrt,"1 apricot, half with liquid",48
"APRICOTS,CND,LT SYRUP PK,W/SKN,SOL&LIQUIDS",carbohydrt,"1 apricot, half with liquid",63
"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,STWD",carbohydrt,,126
"APRICOTS,DEHYD (LOW-MOISTURE),SULFURED,UNCKD",carbohydrt,,320
"APRICOTS,DRIED,SULFURED,STWD,W/ SUGAR",carbohydrt,,113
"APRICOTS,DRIED,SULFURED,STWD,WO/ SUGAR",carbohydrt,,85
"APRICOTS,DRIED,SULFURED,UNCKD",carbohydrt,1 half,241
"APRICOTS,FROZEN,SWEETENED",carbohydrt,,98
"APRICOTS,RAW",carbohydrt,"1 cup, sliced",48
"ARCHWAY Home Style Cookies, Chocolate Chip Ice Box",carbohydrt,,497
"ARCHWAY Home Style Cookies, Coconut Macaroon",carbohydrt,,460
"ARCHWAY Home Style Cookies, Date Filled Oatmeal",carbohydrt,,400
"ARCHWAY Home Style Cookies, Dutch Cocoa",carbohydrt,,431
"ARCHWAY Home Style Cookies, Iced Molasses",carbohydrt,,420
"ARCHWAY Home Style Cookies, Iced Oatmeal",carbohydrt,,435
"ARCHWAY Home Style Cookies, Molasses",carbohydrt,,403
"ARCHWAY Home Style Cookies, Oatmeal",carbohydrt,,421
"ARCHWAY Home Style Cookies, Oatmeal Raisin",carbohydrt,,406
"ARCHWAY Home Style Cookies, Old Fashioned Molasses",carbohydrt,,406
"ARCHWAY Home Style Cookies, Old Fashioned Windmill Cookies",carbohydrt,,468
"ARCHWAY Home Style Cookies, Reduced Fat Ginger Snaps",carbohydrt,,424
"ARCHWAY Home Style Cookies, Strawberry Filled",carbohydrt,,400
"ARCHWAY HOME STYLE COOKIES,FROSTY LEMON",carbohydrt,,430
"ARCHWAY HOME STYLE COOKIES,PNUT BUTTER",carbohydrt,,480
"ARCHWAY HOME STYLE COOKIES,RASPBERRY FILLED",carbohydrt,,400
"ARCHWAY HOME STYLE COOKIES,SUGAR FREE OATMEAL",carbohydrt,,442
"ARROWHEAD,CKD,BLD,DRND,W/SALT",carbohydrt,,78
"ARROWHEAD,CKD,BLD,DRND,WO/SALT",carbohydrt,,78
"ARROWHEAD,RAW",carbohydrt,1 medium,99
ARROWROOT FLOUR,carbohydrt,,357
"ARROWROOT,RAW",carbohydrt,1 root,65
"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT",carbohydrt,".5 cup, hearts",51
"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT",carbohydrt,".5 cup, hearts",53
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT",carbohydrt,"1 package,  (9 oz), yields",45
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT",carbohydrt,"1 package,  (9 oz), yields",45
"ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP",carbohydrt,"1 package,  (9 oz)",38
"ARTICHOKES,(GLOBE OR FRENCH),RAW",carbohydrt,"1 artichoke,  large",47
"ARTIFICIAL BLUEBERRY MUFFIN MIX,DRY",carbohydrt,,407
"ARUGULA,RAW",carbohydrt,.5 cup,25
ASCIDIANS (TUNUGHNAK) (ALASKA NATIVE),protein,,20
"ASPARAGUS,CKD,BLD,DRND",carbohydrt,"4 spears,  (1/2"" base)",22
"ASPARAGUS,CKD,BLD,DRND,W/SALT",carbohydrt,"4 spears,  (1/2"" base)",22
"ASPARAGUS,CND,DRND SOL",carbohydrt,"1 spear,  (about 5"" long)",19
"ASPARAGUS,CND,NO SALT,SOL&LIQUIDS",carbohydrt,"1 can,  (300 x 407)",15
"ASPARAGUS,CND,REG PK,SOL&LIQUIDS",carbohydrt,"1 can,  (300 x 407)",15
"ASPARAGUS,FRZ,CKD,BLD,DRND,W/SALT",protein,"1 package,  (10 oz) yields",18
"ASPARAGUS,FRZ,CKD,BLD,DRND,WO/SALT",protein,"1 package,  (10 oz) yields",18
"ASPARAGUS,FRZ,UNPREP",carbohydrt,"1 package,  (10 oz)",24
"ASPARAGUS,RAW",carbohydrt,"1 spear,  small (5"" long or less)",20
"AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE",carbohydrt,,494
"AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE,RED FAT",carbohydrt,,461
"AUSTIN,CHEDDAR CHS ON WAFER CRACKERS,SANDWICH-TYPE",carbohydrt,,489
"AUSTIN,CHEDDAR CHS ON WHEAT CRACKERS,SANDWICH-TYPE",carbohydrt,,495
"AUSTIN,CHOCOLATEY PNUT BUTTER CRACKERS,SANDWICH-TYPE",carbohydrt,,479
"AUSTIN,GRILLED CHS ON WAFER CRACKERS,SANDWICH-TYPE",carbohydrt,,493
"AUSTIN,PB & J CRACKERS,SANDWICH-TYPE",carbohydrt,,484
"AUSTIN,PNUT BUTTER ON CHS CRACKERS,SANDWICH-TYPE",carbohydrt,,492
"AUSTIN,PNUT BUTTER ON CHS CRACKERS,SANDWICH-TYPE,RED FAT",carbohydrt,,461
"AUSTIN,PNUT BUTTER ON TOASTY CRACKERS,SANDWICH-TYPE",carbohydrt,,489
"AUSTIN,PNUT BUTTER ON TOASTY CRACKERS,SANDWICH-TYPE,RED FAT",carbohydrt,,463
"AVOCADOS,RAW,ALL COMM VAR",carbohydrt,"1 cup, pureed",160
"AVOCADOS,RAW,CALIFORNIA",carbohydrt,"1 fruit, without skin and seed",167
"AVOCADOS,RAW,FLORIDA",carbohydrt,"1 fruit, without skin and seeds",120
BACON & BF STKS,protein,,517
"BACON BITS,MEATLESS",protein,,476
"BACON,MEATLESS",protein,"1 oz, cooked yield",310
"BACON,PRE-SLICED,REDUCED/LOW NA,UNPREP",protein,1 package,407
"BAGEL,PLN,TSTD, ENR W/CA PROP(INCLUDE ONION,POPPY,SESAME)",carbohydrt,"1 mini bagel,  (2-1/2"" dia)",264
"BAGEL,WHEAT",carbohydrt,,250
"BAGELS,CINNAMON-RAISIN",carbohydrt,"1 small bagel,  (3"" dia)",274
"BAGELS,CINNAMON-RAISIN,TSTD",carbohydrt,"1 small bagel,  (3-1/2"" to 4""dia)",294
"BAGELS,EGG",carbohydrt,"1 mini bagel,  (2-1/2"" dia)",278
"BAGELS,OAT BRAN",carbohydrt,"1 small bagel,  (3"" dia)",255
"BAGELS,PLN,ENR,WO/CA PROP (INCL ONION,POPPY,SESAME)",carbohydrt,"1 mini bagel,  (2-1/2"" dia)",275
"BAGELS,PLN,TSTD,ENR W/CA PROP (INCLUDES ONION,POPPY,SESAME)",carbohydrt,"1 small bagel,  (3"" dia)",288
"BAGELS,PLN,UNENR,W/CA PROP (INCL ONION,POPPY,SESAME)",carbohydrt,"1 mini bagel,  (2-1/2"" dia)",275
"BAGELS,PLN,UNENR,WO/CA PROP (INCL ONION,POPPY,SESAME)",carbohydrt,"1 mini bagel,  (2-1/2"" dia)",275
"BAK CHOC,MARS SNACKFOOD US,M&M'S SEMISWT CHOC MINI BAK BITS",carbohydrt,"1 package,  (net weight, 12 oz)",517
"BAKING CHOC,MARS SNACKFOOD US,M&M'S MILK CHOC MINI BAK BITS",carbohydrt,,502
"BAKING CHOC,MEXICAN,SQUARES",carbohydrt,,426
"BAKING CHOC,UNSWTND,LIQ",carbohydrt,,472
"Baking chocolate, unsweetened, squares",carbohydrt,"1 cup, grated",642
"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,W/SALT",carbohydrt,,32
"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,WO/SALT",carbohydrt,,34
"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW",protein,.5 cup,30
"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,W/SALT",carbohydrt,,19
"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,WO/SALT",carbohydrt,".5 cup,  (1/2"" pieces)",19
"BALSAM-PEAR (BITTER GOURD),PODS,RAW",carbohydrt,1 balsam-pear,17
"BAMBOO SHOOTS,CKD,BLD,DRND,W/SALT",protein,1 shoot,11
"BAMBOO SHOOTS,CKD,BLD,DRND,WO/SALT",carbohydrt,1 shoot,12
"BAMBOO SHOOTS,CND,DRND SOL",carbohydrt,"1 can,  (303 x 406)",19
"BAMBOO SHOOTS,RAW",carbohydrt,".5 cup,  (1/2"" pieces)",27
BANANA CHIPS,carbohydrt,3 oz,519
"BANANAS,DEHYD,OR BANANA PDR",carbohydrt,1 tbsp,346
"BANANAS,RAW",carbohydrt,"1 cup, sliced",89
"BARBARA DEE,WNTR MINTS COOKIES",carbohydrt,,515
"BARBECUE LOAF,PORK,BEEF",protein,"1 slice,  (5-7/8"" x 3-1/2"" x 1/16"")",173
BARLEY FLOUR OR MEAL,carbohydrt,,345
BARLEY MALT FLR,carbohydrt,,361
"BARLEY,HULLED",carbohydrt,,354
"BARLEY,PEARLED,COOKED",carbohydrt,,123
"BARLEY,PEARLED,RAW",carbohydrt,,352
"BASIL,FRESH",protein,"2 tbsp, chopped",23
"BASS,FRESHWATER,MXD SP,CKD,DRY HEAT",protein,3 oz,146
"BASS,FRSH H2O,MXD SP,RAW",protein,3 oz,114
"BASS,STRIPED,CKD,DRY HEAT",protein,3 oz,124
"BASS,STRIPED,RAW",protein,1 fillet,97
BEAN BEVERAGE,carbohydrt,1 fl oz,34
"BEANS,ADZUKI,MATURE SD,CKD,BLD,W/SALT",carbohydrt,,128
"BEANS,ADZUKI,MATURE SEEDS,CKD,BLD,WO/SALT",carbohydrt,,128
"BEANS,ADZUKI,MATURE SEEDS,CND,SWTND",carbohydrt,,237
"BEANS,ADZUKI,MATURE SEEDS,RAW",carbohydrt,,329
"BEANS,ADZUKI,YOKAN,MATURE SEEDS",carbohydrt,,260
"BEANS,BAKED,HOME PREPARED",carbohydrt,,155
"BEANS,BKD,CND,NO SALT ADDED",carbohydrt,,105
"BEANS,BKD,CND,PLN OR VEGETARIAN",carbohydrt,,94
"BEANS,BKD,CND,W/BF",carbohydrt,,121
"BEANS,BKD,CND,W/FRANKS",carbohydrt,,142
"BEANS,BKD,CND,W/PORK",carbohydrt,,106
"BEANS,BKD,CND,W/PORK&SWT SAU",carbohydrt,,105
"BEANS,BKD,CND,W/PORK&TOMATO SAU",carbohydrt,,94
"BEANS,BLACK TURTLE,MATURE SEEDS,CKD,BLD,W/ SALT",carbohydrt,,130
"BEANS,BLACK TURTLE,MATURE SEEDS,CKD,BLD,WO/ SALT",carbohydrt,,130
"BEANS,BLACK TURTLE,MATURE SEEDS,CND",carbohydrt,,91
"BEANS,BLACK TURTLE,MATURE SEEDS,RAW",carbohydrt,,339
"BEANS,BLACK,MATURE SEEDS,CKD,BLD,W/SALT",carbohydrt,,132
"BEANS,BLACK,MATURE SEEDS,CKD,BLD,WO/SALT",carbohydrt,,132
"BEANS,BLACK,MATURE SEEDS,CND,LO NA",carbohydrt,,91
"BEANS,BLACK,MATURE SEEDS,RAW",carbohydrt,1 tbsp,341
"BEANS,CHILI,BARBECUE,RANCH STYLE,CKD",carbohydrt,,97
"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,CKD,BLD,W/SALT",carbohydrt,,136
"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,CKD,BLD,WO/SALT",carbohydrt,,136
"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,CND",carbohydrt,,83
"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,RAW",carbohydrt,,335
"BEANS,FAVA,IN POD,RAW",carbohydrt,1 pod,88
"BEANS,FRENCH,MATURE SEEDS,CKD,BLD,W/SALT",carbohydrt,,129
"BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT",carbohydrt,,129
"BEANS,FRENCH,MATURE SEEDS,RAW",carbohydrt,,343
"BEANS,GREAT NORTHERN,MATURE SEEDS,CKD,BLD,W/SALT",carbohydrt,,118
"BEANS,GREAT NORTHERN,MATURE SEEDS,CKD,BLD,WO/SALT",carbohydrt,,118
"BEANS,GREAT NORTHERN,MATURE SEEDS,CND",carbohydrt,,114
"BEANS,GREAT NORTHERN,MATURE SEEDS,CND,LO NA",carbohydrt,,114
"BEANS,GREAT NORTHERN,MATURE SEEDS,RAW",carbohydrt,,339
"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CKD,BLD,W/SALT",carbohydrt,,127
"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CKD,BLD,WO/SALT",carbohydrt,1 tbsp,127
"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CND",carbohydrt,,84
"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,RAW",carbohydrt,,333
"BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,CKD,BLD,W/SALT",carbohydrt,,124
"BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,CKD,BLD,WO/SALT",carbohydrt,,124
"BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,RAW",carbohydrt,,330
"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",protein,,33
"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",protein,,33
"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW",protein,,29
"BEANS,KIDNEY,RED,MATURE SEEDS,CKD,BLD,W/SALT",carbohydrt,,127
"BEANS,KIDNEY,RED,MATURE SEEDS,CKD,BLD,WO/SALT",carbohydrt,1 tbsp,127
"BEANS,KIDNEY,RED,MATURE SEEDS,CND,DRND SOL,RINSED IN TAP H2O",carbohydrt,,121
